Nr,exercise,question,answer,german,english,case
1,1,and,und,,,Konjunktion
2,1,but,aber,,,Konjunktion
3,1,or,oder,,,Konjunktion
4,1,"because, for",denn,,,Konjunktion
5,2,Ich gehe einkaufen _____ mein Bruder kocht das Abendessen.,und,Ich gehe einkaufen und mein Bruder kocht das Abendessen.,"I go shopping, and my brother cooks dinner.",
6,2,Wir lernen Deutsch _____ wir hören deutsche Musik.,und,Wir lernen Deutsch und wir hören deutsche Musik.,"We learn German, and we listen to German music.",
7,2,Sie liest ein Buch _____ ihr Freund schaut einen Film.,und,Sie liest ein Buch und ihr Freund schaut einen Film.,"She reads a book, and her boyfriend watches a movie.",
8,2,Er putzt das Haus _____ seine Schwester macht die Wäsche.,und,Er putzt das Haus und seine Schwester macht die Wäsche.,"He cleans the house, and his sister does the laundry.",
9,2,Wir essen zusammen _____ dann spielen wir Karten.,und,Wir essen zusammen und dann spielen wir Karten.,"We eat together, and then we play cards.",
10,2,"Ich möchte ins Kino gehen, _____ ich habe keine Zeit.",aber,"Ich möchte ins Kino gehen, aber ich habe keine Zeit.","I want to go to the cinema, but I have no time.",
11,2,"Er lernt viel, _____ er versteht die Grammatik nicht.",aber,"Er lernt viel, aber er versteht die Grammatik nicht.","He studies a lot, but he doesn’t understand the grammar.",
12,2,"Sie mag Sport, _____ sie geht selten ins Fitnessstudio.",aber,"Sie mag Sport, aber sie geht selten ins Fitnessstudio.","She likes sports, but she rarely goes to the gym.",
13,2,"Wir wollten spazieren gehen, _____ es hat geregnet.",aber,"Wir wollten spazieren gehen, aber es hat geregnet.","We wanted to go for a walk, but it rained.",
14,2,"Ich esse gern Pizza, _____ ich koche nicht oft.",aber,"Ich esse gern Pizza, aber ich koche nicht oft.","I like eating pizza, but I don’t cook often.",
15,2,"Ich gehe ins Bett, _____ ich bin müde.",denn,"Ich gehe ins Bett, denn ich bin müde.",I am going to bed because I am tired.,
16,2,"Er bleibt zu Hause, _____ er fühlt sich nicht gut.",denn,"Er bleibt zu Hause, denn er fühlt sich nicht gut.",He stays at home because he doesn’t feel well.,
17,2,"Sie kauft das Buch, _____ sie möchte es lesen.",denn,"Sie kauft das Buch, denn sie möchte es lesen.",She buys the book because she wants to read it.,
18,2,"Wir nehmen den Bus, _____ unser Auto ist kaputt.",denn,"Wir nehmen den Bus, denn unser Auto ist kaputt.",We take the bus because our car is broken.,
19,2,"Ich esse jetzt, _____ ich habe Hunger.",denn,"Ich esse jetzt, denn ich habe Hunger.",I am eating now because I am hungry.,
20,2,"Möchtest du Tee trinken, _____ soll ich Kaffee machen?",oder,"Möchtest du Tee trinken, oder soll ich Kaffee machen?","Do you want to drink tea, or should I make coffee?",
21,2,"Wir können ins Kino gehen, _____ wir bleiben zu Hause.",oder,"Wir können ins Kino gehen, oder wir bleiben zu Hause.","We can go to the cinema, or we stay at home.",
22,2,"Er fährt mit dem Fahrrad, _____ er nimmt den Bus.",oder,"Er fährt mit dem Fahrrad, oder er nimmt den Bus.","He rides his bike, or he takes the bus.",
23,2,"Liest du ein Buch, _____ schaust du einen Film?",oder,"Liest du ein Buch, oder schaust du einen Film?","Are you reading a book, or are you watching a movie?",
24,2,"Ich koche Pasta, _____ du bestellst Pizza.",oder,"Ich koche Pasta, oder du bestellst Pizza.","I will cook pasta, or you order pizza.",
25,3,"because, since",weil,,,Subjunktion
26,3,then,dann,,,Adverb
27,3,"so, thus, hence",also,,,Adverb
28,3,"therefore, for this reason, because of that",deshalb,,,Adverb
29,3,that,dass,,,Subjunktion
30,3,"although, even though",obwohl,,,Subjunktion
31,3,"if, when",wenn,,,Subjunktion
32,3,"than, when, as",als,,,Subjunktion
33,3,like,wie,,,Subjunktion
34,4,"Ich bleibe zu Hause, _____ es stark regnet.",weil,"Ich bleibe zu Hause, weil es stark regnet.",I stay at home because it is raining heavily.,
35,4,"Er kann nicht kommen, _____ er arbeiten muss.",weil,"Er kann nicht kommen, weil er arbeiten muss.",He can't come because he has to work.,
36,4,"Sie lernt viel, _____ sie die Prüfung bestehen will.",weil,"Sie lernt viel, weil sie die Prüfung bestehen will.",She studies a lot because she wants to pass the exam.,
37,4,"Wir gehen früh ins Bett, _____ wir morgen früh aufstehen müssen.",weil,"Wir gehen früh ins Bett, weil wir morgen früh aufstehen müssen.",We go to bed early because we have to get up early tomorrow.,
38,4,"Ich trinke Kaffee, _____ ich müde bin.",weil,"Ich trinke Kaffee, weil ich müde bin.",I drink coffee because I am tired.,
39,4,"Es regnet, _____ bleibe ich zu Hause.",also,"Es regnet, also bleibe ich zu Hause.","It’s raining, so I’m staying at home.",
40,4,"Ich habe Hunger, _____ esse ich jetzt.",also,"Ich habe Hunger, also esse ich jetzt.","I’m hungry, so I’m eating now.",
41,4,Du hast das Buch vergessen? _____ müssen wir zurückgehen.,Also,Du hast das Buch vergessen? Also müssen wir zurückgehen.,You forgot the book? So we have to go back.,
42,4,"Er hat viel gelernt, _____ besteht er die Prüfung.",also,"Er hat viel gelernt, also besteht er die Prüfung.","He studied a lot, so he passes the exam.",
43,4,"Das Auto ist kaputt, _____ nehmen wir den Bus.",also,"Das Auto ist kaputt, also nehmen wir den Bus.","The car is broken, so we take the bus.",
44,4,"Ich hoffe, _____ du mich bald besuchst.",dass,"Ich hoffe, dass du mich bald besuchst.",I hope that you visit me soon.,
45,4,"Er sagt, _____ er heute keine Zeit hat.",dass,"Er sagt, dass er heute keine Zeit hat.",He says that he has no time today.,
46,4,"Wir wissen, _____ Deutsch eine schwierige Sprache ist.",dass,"Wir wissen, dass Deutsch eine schwierige Sprache ist.",We know that German is a difficult language.,
47,4,"Sie glaubt, _____ er ihr helfen kann.",dass,"Sie glaubt, dass er ihr helfen kann.",She believes that he can help her.,
48,4,"Ich finde, _____ das Essen sehr lecker schmeckt.",dass,"Ich finde, dass das Essen sehr lecker schmeckt.",I think that the food tastes very delicious.,
49,4,"Es regnet stark, _____ nehme ich meinen Regenschirm.",deshalb,"Es regnet stark, deshalb nehme ich meinen Regenschirm.","It is raining heavily, therefore I take my umbrella.",
50,4,"Ich habe meine Hausaufgaben vergessen, _____ muss ich sie jetzt machen.",deshalb,"Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen.","I forgot my homework, therefore I have to do it now.",
51,4,"Er hat schlecht geschlafen, _____ ist er heute müde.",deshalb,"Er hat schlecht geschlafen, deshalb ist er heute müde.","He slept badly, therefore he is tired today.",
52,4,"Wir haben Hunger, _____ kochen wir etwas zu essen.",deshalb,"Wir haben Hunger, deshalb kochen wir etwas zu essen.","We are hungry, therefore we cook something to eat.",
53,4,"Sie hat ihren Bus verpasst, _____ kommt sie zu spät.",deshalb,"Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","She missed her bus, therefore she is late.",
54,4,"_____ es regnet, nehme ich meinen Regenschirm.",Wenn,"Wenn es regnet, nehme ich meinen Regenschirm.","When it rains, I take my umbrella.",
55,4,"Ich gehe joggen, _____ ich Zeit habe.",wenn,"Ich gehe joggen, wenn ich Zeit habe.",I go jogging when I have time.,
56,4,"_____ er müde ist, trinkt er Kaffee.",Wenn,"Wenn er müde ist, trinkt er Kaffee.","When he is tired, he drinks coffee.",
57,4,"Wir machen ein Picknick, _____ das Wetter schön ist.",wenn,"Wir machen ein Picknick, wenn das Wetter schön ist.",We have a picnic when the weather is nice.,
58,4,"_____ sie Geburtstag hat, feiert sie mit ihrer Familie.",Wenn,"Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","When it’s her birthday, she celebrates with her family.",
59,4,"Ich gehe spazieren, _____ es regnet.",obwohl,"Ich gehe spazieren, obwohl es regnet.",I go for a walk although it is raining.,
60,4,"Er arbeitet weiter, _____ er müde ist.",obwohl,"Er arbeitet weiter, obwohl er müde ist.",He continues working although he is tired.,
61,4,"Sie kommt zur Party, _____ sie viel zu tun hat.",obwohl,"Sie kommt zur Party, obwohl sie viel zu tun hat.",She comes to the party although she has a lot to do.,
62,4,"Wir spielen draussen, _____ es kalt ist.",obwohl,"Wir spielen draussen, obwohl es kalt ist.",We play outside although it is cold.,
63,4,"Ich esse das Gericht, _____ ich es nicht mag.",obwohl,"Ich esse das Gericht, obwohl ich es nicht mag.",I eat the dish although I don’t like it.,
64,4,"Ich stehe auf, _____ mache ich mir einen Kaffee.",dann,"Ich stehe auf, dann mache ich mir einen Kaffee.","I get up, then I make myself a coffee.",
65,4,"Er geht zur Arbeit, _____ beginnt er mit seinem ersten Meeting.",dann,"Er geht zur Arbeit, dann beginnt er mit seinem ersten Meeting.","He goes to work, then he starts his first meeting.",
66,4,"Wir kaufen die Zutaten ein, _____ kochen wir das Abendessen.",dann,"Wir kaufen die Zutaten ein, dann kochen wir das Abendessen.","We buy the ingredients, then we cook dinner.",
67,4,"Sie macht ihre Hausaufgaben, _____ schaut sie einen Film.",dann,"Sie macht ihre Hausaufgaben, dann schaut sie einen Film.","She does her homework, then she watches a movie.",
68,4,"Ich dusche, _____ ziehe ich mich an.",dann,"Ich dusche, dann ziehe ich mich an.","I take a shower, then I get dressed.",
69,4,"Der Test war schwieriger, _____ ich erwartet habe.",als,"Der Test war schwieriger, als ich erwartet habe.",The test was more difficult than I expected.,
70,4,"Das Haus ist größer, _____ wir gedacht haben.",als,"Das Haus ist größer, als wir gedacht haben.",The house is bigger than we thought.,
71,4,"Es ist günstiger, _____ wir geplant haben.",als,"Es ist günstiger, als wir geplant haben.",It is cheaper than we planned.,
72,4,"Das Buch ist interessanter, _____ ich es mir vorgestellt habe.",als,"Das Buch ist interessanter, als ich es mir vorgestellt habe.",The book is more interesting than I imagined.,
73,4,"Der Film war besser, _____ ich gedacht habe.",als,"Der Film war besser, als ich gedacht habe.",The movie was better than I thought.,
74,4,"Das Essen schmeckte so gut, _____ wir es erwartet hatten.",wie,"Das Essen schmeckte so gut, wie wir es erwartet hatten.",The food tastes as good as we expected.,
75,4,"Die Prüfung war einfacher, _____ der Lehrer gesagt hatte.",wie,"Die Prüfung war einfacher, wie der Lehrer gesagt hatte.","The exam was easier, as the teacher said.",
76,4,"Er fährt genauso schnell, _____ es im Plan steht.",wie,"Er fährt genauso schnell, wie es im Plan steht.",He drives just as fast as it was planned.,
77,4,"Ich habe das Problem genauso gelöst, _____ du es mir erklärt hast.",wie,"Ich habe das Problem genauso gelöst, wie du es mir erklärt hast.",I solved the problem exactly as you explained it to me.,
78,4,"Der Film war genauso spannend, _____ ich gehofft habe.",wie,"Der Film war genauso spannend, wie ich gehofft habe.",The movie was just as exciting as I had hoped.,
79,4,"_____ ich ein Kind war, hatte ich einen Hund.",Als,"Als ich ein Kind war, hatte ich einen Hund.","When I was a child, I had a dog.",
80,4,"Er war sehr glücklich, _____ er die Prüfung bestanden hat.",als,"Er war sehr glücklich, als er die Prüfung bestanden hat.",He was very happy when he passed the exam.,
81,4,"_____ wir in Berlin waren, haben wir den Fernsehturm besucht.",Als,"Als wir in Berlin waren, haben wir den Fernsehturm besucht.","When we were in Berlin, we visited the TV tower.",
82,4,"Ich habe ihn das erste Mal getroffen, _____ ich nach Deutschland gereist bin.",als,"Ich habe ihn das erste Mal getroffen, als ich nach Deutschland gereist bin.",I met him for the first time when I traveled to Germany.,
83,4,"_____ sie ihr Auto gekauft hat, war sie sehr stolz.",Als,"Als sie ihr Auto gekauft hat, war sie sehr stolz.","When she bought her car, she was very proud.",
84,5,"since, since then",seitdem,,,Subjunktion
85,5,until,bis,,,Subjunktion
86,5,before,bevor,,,Subjunktion
87,5,after,nachdem,,,Subjunktion
88,5,"despite it, nevertheless, yet, nonetheless",trotzdem,,,Adverb
89,5,"which is why, therefore",weshalb,,,Subjunktion
90,5,so that,damit,,,Subjunktion
91,5,in order to,um zu,,,Zwei Begriffe
92,5,whether,ob,,,Subjunktion
93,5,instead of,anstatt zu,,,Zwei Begriffe
94,5,without,ohne zu,,,Zwei Begriffe
95,5,while,während,,,Subjunktion
96,5,"in case, if",falls,,,Subjunktion
97,5,by,indem,,,Subjunktion
98,5,"otherwise, else",sonst,,,Adverb
99,5,but rather,sondern,,,Konjunktion
100,6,"Ich warte, _____ du fertig bist.",bis,"Ich warte, bis du fertig bist.",I wait until you are finished.,
101,6,"Er bleibt im Büro, _____ er seine Arbeit beendet hat.",bis,"Er bleibt im Büro, bis er seine Arbeit beendet hat.",He stays in the office until he has finished his work.,
102,6,"Wir spielen draussen, _____ es dunkel wird.",bis,"Wir spielen draussen, bis es dunkel wird.",We play outside until it gets dark.,
103,6,"Sie liest ein Buch, _____ sie müde wird.",bis,"Sie liest ein Buch, bis sie müde wird.",She reads a book until she gets tired.,
104,6,"Ich bleibe hier, _____ du zurückkommst.",bis,"Ich bleibe hier, bis du zurückkommst.",I stay here until you come back.,
105,6,"Ich mache mehr Sport, _____ ich im Fitnessstudio angemeldet bin.",seitdem,"Ich mache mehr Sport, seitdem ich im Fitnessstudio angemeldet bin.",I exercise more since I signed up for the gym.,
106,6,"Er fühlt sich besser, _____ er gesünder isst.",seitdem,"Er fühlt sich besser, seitdem er gesünder isst.",He feels better since he started eating healthier.,
107,6,"Wir sind glücklich, _____ wir in diese Stadt gezogen sind.",seitdem,"Wir sind glücklich, seitdem wir in diese Stadt gezogen sind.",We have been happy since we moved to this city.,
108,6,"Sie spricht fliessend Deutsch, _____ sie in Deutschland lebt.",seitdem,"Sie spricht fliessend Deutsch, seitdem sie in Deutschland lebt.",She speaks fluent German since she has been living in Germany.,
109,6,"Ich habe weniger Stress, _____ ich regelmässig meditiere.",seitdem,"Ich habe weniger Stress, seitdem ich regelmässig meditiere.",I have less stress since I started meditating regularly.,
110,6,"Ich wasche mir die Hände, _____ ich esse.",bevor,"Ich wasche mir die Hände, bevor ich esse.",I wash my hands before I eat.,
111,6,"Er macht seine Hausaufgaben, _____ er fern sieht.",bevor,"Er macht seine Hausaufgaben, bevor er fern sieht.",He does his homework before he watches TV.,
112,6,"Wir gehen spazieren, _____ es dunkel wird.",bevor,"Wir gehen spazieren, bevor es dunkel wird.",We go for a walk before it gets dark.,
113,6,"Sie ruft ihre Mutter an, _____ sie ins Bett geht.",bevor,"Sie ruft ihre Mutter an, bevor sie ins Bett geht.",She calls her mother before she goes to bed.,
114,6,"Ich packe meinen Koffer, _____ ich in den Urlaub fahre.",bevor,"Ich packe meinen Koffer, bevor ich in den Urlaub fahre.",I pack my suitcase before I go on vacation.,
115,6,"Ich esse Frühstück, _____ ich aufgestanden bin.",nachdem,"Ich esse Frühstück, nachdem ich aufgestanden bin.",I eat breakfast after I have gotten up.,
