Nr,exercise,question,english,french,ich,du,er/sie/es,wir,ihr,Sie
1,1,sein,to be,être,bin,bist,ist,sind,seid,sind
2,1,haben,"to have, to contain","avoir, contenir",habe,hast,hat,haben,habt,haben
3,1,werden,"to become, will, to be done (passive voice)",devenir,werde,wirst,wird,werden,werdet,werden
4,1,können,"can, to be able to","pouvoir, être capable de",kann,kannst,kann,können,könnt,können
5,1,wollen,to want,vouloir,will,willst,will,wollen,wollt,wollen
6,2,müssen,"must, to have to, to be obliged (to do something)","devoir, être obligé (de faire quelque chose)",muss,musst,muss,müssen,müsst,müssen
7,2,sollen,"shall, to be asked (to do something)","devoir, être invité (à faire quelque chose)",soll,sollst,soll,sollen,sollt,sollen
8,2,mögen,to like,"aimer, apprécier",mag,magst,mag,mögen,mögt,mögen
9,2,dürfen,"to be allowed (to do something), may","être autorisé (à faire quelque chose), peut",darf,darfst,darf,dürfen,dürft,dürfen
10,2,wissen,"to know, to have knowledge",savoir,weiß,weißt,weiß,wissen,wisst,wissen
11,3,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)",mache,machst,macht,machen,macht,machen
12,3,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",tue,tust,tut,tun,tut,tun
13,3,sagen,"to say, to tell","dire, raconter",sage,sagst,sagt,sagen,sagt,sagen
14,3,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)",gehe,gehst,geht,gehen,geht,gehen
15,3,sehen,"to see, to realise","voir, se rendre compte",sehe,siehst,sieht,sehen,seht,sehen
16,4,geben,to give,donner,gebe,gibst,gibt,geben,gebt,geben
17,4,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",komme,kommst,kommt,kommen,kommt,kommen
18,4,glauben,to believe,croire,glaube,glaubst,glaubt,glauben,glaubt,glauben
19,4,reden,to talk,"parler, discuter",rede,redest,redet,reden,redet,reden
20,4,hören,"to hear, to listen to","entendre, écouter",höre,hörst,hört,hören,hört,hören
21,5,finden,to find,trouver,finde,findest,findet,finden,findet,finden
22,5,bleiben,"to remain, to stay",rester,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben
23,5,brauchen,to need,avoir besoin,brauche,brauchst,braucht,brauchen,braucht,brauchen
24,5,lieben,to love,"aimer, être amoureux de",liebe,liebst,liebt,lieben,liebt,lieben
25,5,bringen,"to bring, to take, to lead","apporter, prendre, conduire",bringe,bringst,bringt,bringen,bringt,bringen
26,6,stehen,"to stand, to be, to appear","être debout, apparaître",stehe,stehst,steht,stehen,steht,stehen
27,6,heißen,"to be called, to mean",être appelé,heiße,heißt,heißt,heißen,heißt,heißen
28,6,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",nehme,nimmst,nimmt,nehmen,nehmt,nehmen
29,6,sprechen,to speak,parler (une langue),spreche,sprichst,spricht,sprechen,sprecht,sprechen
30,6,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un",bekomme,bekommst,bekommt,bekommen,bekommt,bekommen
31,7,vergessen,"to forget, to leave (forget to take)",oublier,vergesse,vergisst,vergisst,vergessen,vergesst,vergessen
32,7,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",halte,hältst,hält,halten,haltet,halten
33,7,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",warte,wartest,wartet,warten,wartet,warten
34,7,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",kenne,kennst,kennt,kennen,kennt,kennen
35,7,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",verstehe,verstehst,versteht,verstehen,versteht,verstehen
36,8,denken,"to think, to consider","penser, considérer",denke,denkst,denkt,denken,denkt,denken
37,8,leben,to live,vivre,lebe,lebst,lebt,leben,lebt,leben
38,8,arbeiten,to work,travailler,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten
39,8,essen,to eat,manger,esse,isst,isst,essen,esst,essen
40,8,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",biete,bietest,bietet,bieten,bietet,bieten
41,9,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",stehe auf,stehst auf,steht auf,stehen auf,steht auf,stehen auf
42,9,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",ziehe an,ziehst an,zieht an,ziehen an,zieht an,ziehen an
