Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,verb,level verb,case_preposition,bedeutung
1,1,_____ haben,Angst,Angst haben,Angst haben,to be afraid of,avoir peur de,Feminine,Féminin,Angst haben = to be afraid of,Angst haben = avoir peur de,,,vor,
2,1,_____ führen,ein Gespräch/eine Diskussion,ein Gespräch führen,ein Gespräch führen,"to have a conversation, to talk, to discuss","parler, discuter, avoir une conversation",Neuter,Neutre,"ein Gespräch führen = to have a conversation, to talk, to discuss","ein Gespräch führen = parler, discuter, avoir une conversation",,,mit + Dative über + Accusative,
3,1,_____ treffen,eine Entscheidung,eine Entscheidung treffen,eine Entscheidung treffen,"to decide, to make a decision","décider, prendre une décision",Feminine,Féminin,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,
4,1,_____ stellen,eine Frage,eine Frage stellen,eine Frage stellen,to ask a question,poser une question,Feminine,Féminin,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,an + Dative,
5,1,_____ finden,eine Lösung,eine Lösung finden,eine Lösung finden,"to solve, to find a solution","résoudre, trouver une solution",Feminine,Féminin,"eine Lösung finden = to solve, to find a solution","eine Lösung finden = résoudre, trouver une solution",,,,
6,1,_____ haben,eine Meinung/eine Ansicht,"eine Meinung haben, eine Meinung vertreten","eine Meinung haben, eine Meinung vertreten","to have an opinion, to think","avoir une opinion, penser",Feminine,Féminin,"eine Meinung haben, eine Meinung vertreten = to have an opinion, to think","eine Meinung haben, eine Meinung vertreten = avoir une opinion, penser",,,,
7,1,_____ spielen,eine Rolle,eine Rolle spielen,eine Rolle spielen,"to be important, to play a role","être important, jouer un rôle",Feminine,Féminin,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,für + Accusative,
8,1,_____ stellen,einen Antrag,einen Antrag stellen,einen Antrag stellen,to apply for,soumettre une candidature,Masculine,Masculin,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,bei / auf,
9,1,_____ geben,eine Antwort,eine Antwort geben,eine Antwort geben,"to answer, to give an answer",répondre,Feminine,Féminin,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,beantworten
10,1,_____ geben,einen Rat,einen Rat geben,einen Rat geben,"to advise, to give some advice","conseiller, donner un conseil",Masculine,Masculin,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,
11,1,_____ machen,einen Vorschlag,"einen Vorschlag machen, einen Vorschlag unterbreiten","einen Vorschlag machen, einen Vorschlag unterbreiten","to suggest, to make a suggestion","suggérer, faire une suggestion",Masculine,Masculin,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,
12,1,_____ haben,Hoffnung,Hoffnung haben,Hoffnung haben,to hope,"espérer, avoir de l'espoir",Feminine,Féminin,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,hoffen
13,1,_____ haben,keine Ahnung,keine Ahnung haben,keine Ahnung haben,"to not know, to have no idea","ne pas savoir, avoir aucune idée",Feminine,Féminin,"keine Ahnung haben = to not know, to have no idea","keine Ahnung haben = ne pas savoir, avoir aucune idée",,,von,nicht wissen
14,1,_____ haben,Lust/Bock,Lust haben,Lust haben,"to want, to feel like",avoir envie de,Feminine,Féminin,"Lust haben = to want, to feel like",Lust haben = avoir envie de,,,auf,sich etw. wünschen / wollen
15,1,_____ bringen,zu Ende,zu Ende bringen,zu Ende bringen,"to finish, to complete","finir, achever",Neuter,Neutre,"zu Ende bringen = to finish, to complete","zu Ende bringen = finir, achever",,,Acc.,beenden
16,2,Angst _____,haben,Angst haben,Angst haben,to be afraid of,avoir peur de,,,Angst haben = to be afraid of,Angst haben = avoir peur de,,,vor,
17,2,eine Entscheidung _____,treffen,eine Entscheidung treffen,eine Entscheidung treffen,"to decide, to make a decision","décider, prendre une décision",,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,
18,2,eine Frage _____,stellen,eine Frage stellen,eine Frage stellen,to ask a question,poser une question,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,an + Dative,
19,2,eine Gespräche _____,führen,eine Gespräche führen,eine Gespräche führen,"to have a conversation, to talk, to discuss","parler, discuter, avoir une conversation",,,"eine Gespräche führen = to have a conversation, to talk, to discuss","eine Gespräche führen = parler, discuter, avoir une conversation",,,mit + Dative über + Accusative,
20,2,eine Lösung _____,finden,eine Lösung finden,eine Lösung finden,"to solve, to find a solution","résoudre, trouver une solution",,,"eine Lösung finden = to solve, to find a solution","eine Lösung finden = résoudre, trouver une solution",,,,
21,2,eine Meinung _____,haben/vertreten,"eine Meinung haben, eine Meinung vertreten","eine Meinung haben, eine Meinung vertreten",to have an opinion,"avoir une opinion, défendre une opinion",,,"eine Meinung haben, eine Meinung vertreten = to have an opinion, to think","eine Meinung haben, eine Meinung vertreten = avoir une opinion, penser",,,,
22,2,eine Rolle _____,spielen,eine Rolle spielen,eine Rolle spielen,"to be important, to play a role","être important, jouer un rôle",,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,für + Accusative,
23,2,einen Antrag _____,stellen,einen Antrag stellen,einen Antrag stellen,to apply for,soumettre une candidature,,,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,bei / auf,
24,2,eine Antwort _____,geben,eine Antwort geben,eine Antwort geben,"to answer, to give an answer",répondre,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,beantworten
25,2,einen Rat _____,geben,einen Rat geben,einen Rat geben,"to advise, to give some advice","conseiller, donner un conseil",,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,
