Nr,level,german,english,ich,du,er/sie/es,wir,ihr,Sie
1,1,sein,to be,bin,bist,ist,sind,seid,sind
2,1,haben,"to have, to contain",habe,hast,hat,haben,habt,haben
3,1,werden,"to become, will, to be done (passive voice)",werde,wirst,wird,werden,werdet,werden
4,1,können,"can, to be able to",kann,kannst,kann,können,könnt,können
5,1,wollen,to want,will,willst,will,wollen,wollt,wollen
6,1,müssen,"must, to have to, to be obliged (to do something)",muss,musst,muss,müssen,müsst,müssen
7,1,sollen,"shall, to be asked (to do something)",soll,sollst,soll,sollen,sollt,sollen
8,1,mögen,to like,mag,magst,mag,mögen,mögt,mögen
9,1,dürfen,"to be allowed (to do something), may",darf,darfst,darf,dürfen,dürft,dürfen
10,1,wissen,to know,weiss,weisst,weiss,wissen,wisst,wissen
11,1,machen,"to make, to prepare (e.g. food), to do",mache,machst,macht,machen,macht,machen
12,1,tun,"to do, to do something to someone",tue,tust,tut,tun,tut,tun
13,1,sagen,"to say, to tell",sage,sagst,sagt,sagen,sagt,sagen
14,1,gehen,"to go, to leave, to work, to function (coll.)",gehe,gehst,geht,gehen,geht,gehen
15,1,sehen,"to see, to see (to something), to realise",sehe,siehst,sieht,sehen,seht,sehen
16,2,geben,to give,gebe,gibst,gibt,geben,gebt,geben
17,2,kommen,"to come, to make it (e.g. over something), to go to, to occur",komme,kommst,kommt,kommen,kommt,kommen
18,2,glauben,to believe,glaube,glaubst,glaubt,glauben,glaubt,glauben
19,2,passieren,"to happen (conversational), to move beyond, to strain",passiere,passierst,passiert,passieren,passiert,passieren
20,2,reden,to talk,rede,redest,redet,reden,redet,reden
21,2,hören,"to hear, to listen to",höre,hörst,hört,hören,hört,hören
22,2,finden,to find,finde,findest,findet,finden,findet,finden
23,2,bleiben,"to remain, to stay",bleibe,bleibst,bleibt,bleiben,bleibt,bleiben
24,2,brauchen,to need (colloquial),brauche,brauchst,braucht,brauchen,braucht,brauchen
25,2,lieben,to love,liebe,liebst,liebt,lieben,liebt,lieben
26,2,bringen,"to bring, to take, to lead",bringe,bringst,bringt,bringen,bringt,bringen
27,2,stehen,"to stand, to be, to appear",stehe,stehst,steht,stehen,steht,stehen
28,2,heissen,"to be called, to mean",heisse,heisst,heisst,heissen,heisst,heissen
29,2,nehmen,"to take, to cause oneself to be (in some state)",nehme,nimmst,nimmt,nehmen,nehmt,nehmen
30,2,sprechen,to speak,spreche,sprichst,spricht,sprechen,sprecht,sprechen
31,3,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone",bekomme,bekommst,bekommt,bekommen,bekommt,bekommen
32,3,vergessen,"to forget, to leave (forget to take)",vergesse,vergisst,vergisst,vergessen,vergesst,vergessen
33,3,halten,"to hold, to stop (a movement), to support, to keep",halte,hältst,hält,halten,haltet,halten
34,3,warten,"to wait, to maintain (e.g. a car)",warte,wartest,wartet,warten,wartet,warten
35,3,kennen,"to know, to be acquainted with, to be familiar with",kenne,kennst,kennt,kennen,kennt,kennen
36,3,verstehen,"to understand, to get along with someone/something",verstehe,verstehst,versteht,verstehen,versteht,verstehen
37,3,denken,"to think, to consider",denke,denkst,denkt,denken,denkt,denken
38,3,leben,to live,lebe,lebst,lebt,leben,lebt,leben
39,3,verlieren,to lose,verliere,verlierst,verliert,verlieren,verliert,verlieren
40,3,arbeiten,to work,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten
41,3,essen,to eat,esse,isst,isst,essen,esst,essen
42,3,spielen,to play,spiele,spielst,spielt,spielen,spielt,spielen
43,3,fahren,"to go (by vehicle), to leave, to drive",fahre,fährst,fährt,fahren,fahrt,fahren
44,3,versuchen,to try,versuche,versuchst,versucht,versuchen,versucht,versuchen
45,3,erzählen,"to tell, to narrate",erzähle,erzählst,erzählt,erzählen,erzählt,erzählen
46,4,fragen,"to ask, to wonder (refl.)",frage,fragst,fragt,fragen,fragt,fragen
47,4,treffen,"to meet, to encounter",treffe,triffst,trifft,treffen,trefft,treffen
48,4,hoffen,to hope,hoffe,hoffst,hofft,hoffen,hofft,hoffen
49,4,suchen,"to seek, to search",suche,suchst,sucht,suchen,sucht,suchen
50,4,trinken,to drink,trinke,trinkst,trinkt,trinken,trinkt,trinken
51,4,lernen,"to learn, to study (revise/review materials), to train something",lerne,lernst,lernt,lernen,lernt,lernen
52,4,zeigen,"to show, to point at, to demonstrate",zeige,zeigst,zeigt,zeigen,zeigt,zeigen
53,4,schlafen,to sleep,schlafe,schläfst,schläft,schlafen,schlaft,schlafen
54,4,kaufen,to buy,kaufe,kaufst,kauft,kaufen,kauft,kaufen
55,4,laufen,"to walk, to flow (of a fluid), to run (of an event)",laufe,läufst,läuft,laufen,lauft,laufen
56,4,erklären,"to explain, to declare, to assert",erkläre,erklärst,erklärt,erklären,erklärt,erklären
57,4,zahlen,"to pay (for something), to atone for",zahle,zahlst,zahlt,zahlen,zahlt,zahlen
58,4,schwimmen,"to swim, to float",schwimme,schwimmst,schwimmt,schwimmen,schwimmt,schwimmen
59,4,kochen,"to cook, to boil (to heat a liquid), to boil something",koche,kochst,kocht,kochen,kocht,kochen
60,4,waschen,to wash,wasche,wäschst,wäscht,waschen,wascht,waschen
